🔒 ID deliverable _txt,🚧/ id Function _txt copy copy,title deliverable _txt,bckoff/ id Macro-Function _txt,bckoff/ id Function _txt,bckoff/ desc deliverable _txt,interact/ (TP) FakeForRelation
z3D-lR-XSGSGQbyD2rZP5g,Stratégie RH,OKRs et KPIs,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,Définir les principaux objectifs et paramètres de l'ensemble de la fonction,[For Relation Deliverable - Usc Entry]
m76PUz.lRg6kLPb4m65RGQ,Stratégie RH,Feuille de route et plan de mise en œuvre,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,"Définir un plan détaillé pour la stratégie à long terme de la fonction, en accord avec la mission et la stratégie de l'entreprise",[For Relation Deliverable - Usc Entry]
K6UNFaARRDOCZttp0ulKZQ,Stratégie RH,Planification des effectifs : Analyse des lacunes en matière de compétences,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,"Évaluer les compétences actuelles de la main-d'œuvre par rapport à la croissance future de l'entreprise et aux besoins qui en découlent, afin d'identifier les lacunes en matière de compétences.",[For Relation Deliverable - Usc Entry]
4WEtTBc-R8aULkBh9tsuFw,Stratégie RH,Planification des effectifs : Plan de recrutement annuel,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,Planifier les besoins futurs en main-d'œuvre à moyen et à long terme sur la base de l'analyse des lacunes en matière de compétences.,[For Relation Deliverable - Usc Entry]
efyA8xPQSjeWRpEtn8V9AA,Stratégie RH,Gestion des talents : Proposition de valeur pour l'employé,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,"Concevoir des expériences uniques pour les employés (""persona"") afin de favoriser l'engagement et les capacités, en se concentrant sur la culture, le développement et l'engagement.",[For Relation Deliverable - Usc Entry]
A.PCilS-RH2Z.S6XFC70kw,Stratégie RH,Gestion des talents : culture,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,"Développer des valeurs alignées sur la mission de l'entreprise, des politiques d'inclusion et des mécanismes de culture réalisables (y compris le ""ton au sommet"").",[For Relation Deliverable - Usc Entry]
yZsYfx2GRcK4DEfpob14-Q,Stratégie RH,Gestion des talents : développement,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,"Définir les principes de l'intégration, de la gestion des performances (mécanisme de classement et d'évaluation), des parcours de carrière et de la formation.",[For Relation Deliverable - Usc Entry]
Gsp55ce7QZiutvcwd8CyDw,Stratégie RH,Gestion des talents : engagement,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,Mettre en place des mécanismes (tels que des enquêtes) pour évaluer et améliorer l'engagement des employés,[For Relation Deliverable - Usc Entry]
lAbobIVAS2iEqcrf0AcH-A,Stratégie RH,Structure organisationnelle,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,Définir les RACI de la fonction et les organigrammes correspondants,[For Relation Deliverable - Usc Entry]
ircRQ9UoQEindp0QMp-JrA,Stratégie RH,Conformité des politiques,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,Auditer les politiques et les pratiques de la fonction afin de se conformer aux exigences légales et réglementaires.,[For Relation Deliverable - Usc Entry]
bbwBaUZ9RbaVLfkNnu5Tng,Stratégie RH,Développement et gestion des politiques RH,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,Définir des politiques et gérer en permanence leur conformité et évaluer leur compétitivité.,[For Relation Deliverable - Usc Entry]
y2Ud1OSRQ9WwkKXXyurGTQ,Stratégie RH,Gestion et rapports,my6VdsqMSt2govE7qBhx0w,Omp5ecCORbaLRzsokeLBNQ,Contrôler la feuille de route et les indicateurs de la fonction dans son ensemble.,[For Relation Deliverable - Usc Entry]
R7U8POCzTaOB.55dLKEuBw,Recrutement,"OKRs, KPIs et reporting",my6VdsqMSt2govE7qBhx0w,Rd.A9azLRSWDnKyDKrl9tA,1. Définir les objectifs clés et les indicateurs de la sous-fonction. 2. Suivi de la feuille de route et des indicateurs de la sous-fonction,[For Relation Deliverable - Usc Entry]
rrkzUg3sQni0lpZJBHVXOw,Recrutement,Image de marque de l'employeur,my6VdsqMSt2govE7qBhx0w,Rd.A9azLRSWDnKyDKrl9tA,Définir le positionnement et les supports pour promouvoir l'organisation en tant qu'employeur de choix.,[For Relation Deliverable - Usc Entry]
BQODtctxSoaoheF4aARRwQ,Recrutement,Besoins et description des postes,my6VdsqMSt2govE7qBhx0w,Rd.A9azLRSWDnKyDKrl9tA,"Définir le rôle, la fourchette de salaire et le profil du candidat (compétences, expérience...).",[For Relation Deliverable - Usc Entry]
37ea904oT.aWJSjG0KztYA,Recrutement,Canaux de recherche de candidats,my6VdsqMSt2govE7qBhx0w,Rd.A9azLRSWDnKyDKrl9tA,"Faire correspondre la description du poste avec les canaux possibles (job board, chasseur de têtes....)",[For Relation Deliverable - Usc Entry]
IvGhgLTZRfmG77RUeF7KAg,Recrutement,Sélection et pré-évaluation des CV,my6VdsqMSt2govE7qBhx0w,Rd.A9azLRSWDnKyDKrl9tA,"Vérifier l'adéquation entre la description du poste et les CV, les compétences et la personnalité.",[For Relation Deliverable - Usc Entry]
0oNbgUs6QaG7GiOzrrVY2g,Recrutement,Préparation et synthèse des entretiens,my6VdsqMSt2govE7qBhx0w,Rd.A9azLRSWDnKyDKrl9tA,Formuler des questions clés pour l'entretien et consolider les résultats de l'entretien,[For Relation Deliverable - Usc Entry]
DZqYeuOBRtKpCWqvwhxbdw,Recrutement,Contrat de travail,my6VdsqMSt2govE7qBhx0w,Rd.A9azLRSWDnKyDKrl9tA,Rédiger des contrats de travail décrivant les conditions d'emploi.,[For Relation Deliverable - Usc Entry]
YyVC1pW7QmKJ9SGtl.UPqg,Recrutement,Logiciels et outils,my6VdsqMSt2govE7qBhx0w,Rd.A9azLRSWDnKyDKrl9tA,Sélection de la pile du (des) système(s) d'information de la sous-fonction,[For Relation Deliverable - Usc Entry]
a-QtbCQjmR7iAH5rJjpDqoA,Compensation & benefits (C&B),"OKRs, KPIs et reporting",my6VdsqMSt2govE7qBhx0w,357YnctJT9KtOrXrWg7e9g,1. Définir les objectifs et les mesures clés de la sous-fonction. 2. Contrôler la feuille de route et les paramètres de la sous-fonction.,[For Relation Deliverable - Usc Entry]
MLMMMfsNTZe-7gTRzZZDAQ,Compensation & benefits (C&B),Benchmarking du marché C&B,my6VdsqMSt2govE7qBhx0w,357YnctJT9KtOrXrWg7e9g,Comparer les packages C&B aux normes (dans l'industrie et/ou chez des acteurs similaires),[For Relation Deliverable - Usc Entry]
mb996JW6TCmbSc1gGOmRAQ,Compensation & benefits (C&B),Paquet C&B,my6VdsqMSt2govE7qBhx0w,357YnctJT9KtOrXrWg7e9g,"Concevoir des programmes de rémunération compétitifs et équitables comprenant le salaire, les primes, les avantages sociaux et les options d'achat d'actions.",[For Relation Deliverable - Usc Entry]
WMTYOdtkSAaMW5Lnus3ZMg,Compensation & benefits (C&B),Conformité juridique,my6VdsqMSt2govE7qBhx0w,357YnctJT9KtOrXrWg7e9g,Veiller à ce que les packages C&B soient conformes aux lois et réglementations en vigueur.,[For Relation Deliverable - Usc Entry]
znxt-ZZ.RfCVzghJVNu6AA,Compensation & benefits (C&B),Logiciels et outils,my6VdsqMSt2govE7qBhx0w,357YnctJT9KtOrXrWg7e9g,Sélectionner la pile de systèmes d'information de la sous-fonction,[For Relation Deliverable - Usc Entry]
O78OJmunScKr-vimb85yZA,Paie,"OKRs, KPIs et reporting",my6VdsqMSt2govE7qBhx0w,mTQHgVfXTZOaKFG8N3ZpYw,1. Définir les objectifs et les mesures clés de la sous-fonction. 2. Contrôler la feuille de route et les paramètres de la sous-fonction.,[For Relation Deliverable - Usc Entry]
kcj4fZhQR0yvuBpb2e46VA,Paie,Décaissement des salaires,my6VdsqMSt2govE7qBhx0w,mTQHgVfXTZOaKFG8N3ZpYw,Traiter le paiement des salaires des employés dans les délais et avec précision.,[For Relation Deliverable - Usc Entry]
zlT5Z5jaTHuVMB5KmlDvDg,Paie,Remboursement des notes de frais,my6VdsqMSt2govE7qBhx0w,mTQHgVfXTZOaKFG8N3ZpYw,Traiter les demandes de remboursement de frais des employés conformément à la politique de l'entreprise.,[For Relation Deliverable - Usc Entry]
p2IUg1OKR1uAykDd2NgP0A,Paie,Gestion des déductions,my6VdsqMSt2govE7qBhx0w,mTQHgVfXTZOaKFG8N3ZpYw,Administrer les déductions fiscales et sociales exactes sur les salaires des employés.,[For Relation Deliverable - Usc Entry]
7Xy1r--NSmq74BKsT2Og2Q,Paie,Tenue des dossiers,my6VdsqMSt2govE7qBhx0w,mTQHgVfXTZOaKFG8N3ZpYw,Tenir des registres de paie détaillés pour chaque employé.,[For Relation Deliverable - Usc Entry]
6xfHdtx9SnyTNwxTMpCXfQ,Paie,Conformité réglementaire,my6VdsqMSt2govE7qBhx0w,mTQHgVfXTZOaKFG8N3ZpYw,Respecter les lois fiscales et les normes en matière d'emploi.,[For Relation Deliverable - Usc Entry]
LohKaFplRo215lZQQEaOXw,Paie,Logiciels et outils,my6VdsqMSt2govE7qBhx0w,mTQHgVfXTZOaKFG8N3ZpYw,Sélectionner la pile du ou des systèmes d'information de la sous-fonction,[For Relation Deliverable - Usc Entry]
GVY0H2gpSiGjuHodDbVdPw,Gestion de la Performance,"OKRs, KPIs et reporting",my6VdsqMSt2govE7qBhx0w,GRFbBE.tScStEm.ctUoiIA,1. Définir les objectifs et les mesures clés de la sous-fonction. 2. Contrôler la feuille de route et les paramètres de la sous-fonction.,[For Relation Deliverable - Usc Entry]
rV14E9A-TlW0wOUeqrnUZw,Gestion de la Performance,Conception d'une stratégie de performance,my6VdsqMSt2govE7qBhx0w,GRFbBE.tScStEm.ctUoiIA,Développer des cadres pour l'évaluation et le classement des employés,[For Relation Deliverable - Usc Entry]
hFBiFOf3SbSD.otFNH2JnQ,Gestion de la Performance,Définition des objectifs,my6VdsqMSt2govE7qBhx0w,GRFbBE.tScStEm.ctUoiIA,"Définir des objectifs de performance clairs et mesurables, alignés sur les objectifs de l'entreprise.",[For Relation Deliverable - Usc Entry]
zHM1LXIgQYCn9ThfgTeF5w,Gestion de la Performance,Mesure de la performance,my6VdsqMSt2govE7qBhx0w,GRFbBE.tScStEm.ctUoiIA,Utiliser diverses mesures et indicateurs clés de performance pour évaluer objectivement les performances.,[For Relation Deliverable - Usc Entry]
WL.RwnsMTMKa0cYbsf4gkA,Gestion de la Performance,Examens et rapports de performance,my6VdsqMSt2govE7qBhx0w,GRFbBE.tScStEm.ctUoiIA,"Donner aux cadres les moyens de procéder à des évaluations formelles des performances des employés, généralement sur une base annuelle ou semestrielle.",[For Relation Deliverable - Usc Entry]
YW8Xq2r5RNS9wsJUBMisuA,Gestion de la Performance,Feedback continu du manager,my6VdsqMSt2govE7qBhx0w,GRFbBE.tScStEm.ctUoiIA,Equiper les cadres pour qu'ils puissent fournir un retour d'information et un accompagnement continus aux employés en ce qui concerne leurs performances.,[For Relation Deliverable - Usc Entry]
pzfE2t7QQfiSF5xXkIyvJQ,Gestion de la Performance,Plan de développement des employés,my6VdsqMSt2govE7qBhx0w,GRFbBE.tScStEm.ctUoiIA,,[For Relation Deliverable - Usc Entry]
NUQO0pq4TFSQx4rl4omP4g,Gestion de la Performance,Logiciels et outils,my6VdsqMSt2govE7qBhx0w,GRFbBE.tScStEm.ctUoiIA,Sélection de la pile du (des) système(s) d'information de la sous-fonction,[For Relation Deliverable - Usc Entry]
JBia3NtwQ1G-4bjZ0uwCaA,Développement des Carrières,"OKRs, KPIs et reporting",my6VdsqMSt2govE7qBhx0w,Rxb.OKSTRJaB1sJNAsPPLQ,1. Définir les objectifs et les mesures clés de la sous-fonction. 2. Suivre la feuille de route et les indicateurs de la sous-fonction.,[For Relation Deliverable - Usc Entry]
UZ7EPvPgR7eojI70gKA59g,Développement des Carrières,Parcours de carrière,my6VdsqMSt2govE7qBhx0w,Rxb.OKSTRJaB1sJNAsPPLQ,Définir des parcours de progression pour les différents rôles au sein de l'organisation,[For Relation Deliverable - Usc Entry]
cOYtxXSVTyawsPMGF23Lmg,Développement des Carrières,Programmes de mentorat,my6VdsqMSt2govE7qBhx0w,Rxb.OKSTRJaB1sJNAsPPLQ,Créer un programme de mentorat et de coaching pour chaque parcours de carrière,[For Relation Deliverable - Usc Entry]
B3f9ZrpERE2WzHBOHXejGw,Développement des Carrières,Évaluation des compétences,my6VdsqMSt2govE7qBhx0w,Rxb.OKSTRJaB1sJNAsPPLQ,Identifier les lacunes en matière de compétences et les besoins de développement des employés.,[For Relation Deliverable - Usc Entry]
hK1vtd7HRpKY-b7fXixJ4w,Développement des Carrières,Développement professionnel,my6VdsqMSt2govE7qBhx0w,Rxb.OKSTRJaB1sJNAsPPLQ,Proposer un programme de formation en fonction du parcours professionnel des employés.,[For Relation Deliverable - Usc Entry]
xdrSu8gZSIKpH7QmGYrosA,Développement des Carrières,Planification de la succession,my6VdsqMSt2govE7qBhx0w,Rxb.OKSTRJaB1sJNAsPPLQ,Préparer les futurs besoins en leadership en développant les talents internes.,[For Relation Deliverable - Usc Entry]
M21AyJzXSpuTpDuVagogig,Développement des Carrières,Logiciels et outils,my6VdsqMSt2govE7qBhx0w,Rxb.OKSTRJaB1sJNAsPPLQ,Sélection de la pile du ou des systèmes d'information de la sous-fonction,[For Relation Deliverable - Usc Entry]
0mFvWj9GQnG-k5fwzh60hQ,Formation,"OKRs, KPIs et reporting",my6VdsqMSt2govE7qBhx0w,Xb.MXcL.SeORmPcvQHeS2g,1. Définir les objectifs et les mesures clés de la sous-fonction. 2. Contrôler la feuille de route et les indicateurs de la sous-fonction.,[For Relation Deliverable - Usc Entry]
qNuywG39RbmiNLx7D692Ng,Formation,Évaluation des besoins,my6VdsqMSt2govE7qBhx0w,Xb.MXcL.SeORmPcvQHeS2g,Identifier les besoins en formation sur la base des exigences professionnelles et des écarts de performance,[For Relation Deliverable - Usc Entry]
pwXv2N0qRDOnZfwWHJsj1w,Formation,Programme et plan de formation,my6VdsqMSt2govE7qBhx0w,Xb.MXcL.SeORmPcvQHeS2g,Définir le programme de formation en fonction du type et du niveau de l'employé,[For Relation Deliverable - Usc Entry]
o39AOoTXSiOS2YnOvSudyw,Formation,Conception de la formation,my6VdsqMSt2govE7qBhx0w,Xb.MXcL.SeORmPcvQHeS2g,Développer des cours de formation sur mesure pour répondre aux exigences spécifiques en matière de compétences et de connaissances,[For Relation Deliverable - Usc Entry]
