bckoff/ 🔒 id Function _txt,bckoff/ title Function _txt,bckoff/ id Macro-Function _txt,bckoff/ (LK) label Macro-Function ,stake/ (USC) order Function _txt,wkld/ (RU) # per Function,wkld/ (RU) # macroFunction,wkld/ (RU) # highest Function,wkld/ (IF) label highest Function,wkld/ (JL) label highest Function,AIpty/ (RU) # macroFunction,AIpty/ (RU) # theory pty,AIpty/ (RU) highest pty- # Function,AIpty/ (IF) highest pty- label Function,AIpty/ (JL) highest pty- label Function
Omp5ecCORbaLRzsokeLBNQ,Stratégie RH,my6VdsqMSt2govE7qBhx0w,RH,WZyV,"3693,4","3693,4","3693,4",Stratégie RH,Stratégie RH,"812,04","812,04","812,04",Stratégie RH,Stratégie RH
Rd.A9azLRSWDnKyDKrl9tA,Recrutement,my6VdsqMSt2govE7qBhx0w,RH,WZyl,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
357YnctJT9KtOrXrWg7e9g,Compensation & benefits (C&B),my6VdsqMSt2govE7qBhx0w,RH,UzE,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
mTQHgVfXTZOaKFG8N3ZpYw,Paie,my6VdsqMSt2govE7qBhx0w,RH,UzS,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
GRFbBE.tScStEm.ctUoiIA,Gestion de la Performance,my6VdsqMSt2govE7qBhx0w,RH,Uz7,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
Rxb.OKSTRJaB1sJNAsPPLQ,Développement des Carrières,my6VdsqMSt2govE7qBhx0w,RH,WZyG,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
Xb.MXcL.SeORmPcvQHeS2g,Formation,my6VdsqMSt2govE7qBhx0w,RH,V,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
4FkWRY6vRsmMPdRTqlrAoA,Communication RH,my6VdsqMSt2govE7qBhx0w,RH,WZzd,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
tU7dohtpQ4yP501NNfnKNg,Relations Sociales,my6VdsqMSt2govE7qBhx0w,RH,WZzU,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
kVF1.pVTQpKvHy5Alb3O-w,Processus et Outils RH,my6VdsqMSt2govE7qBhx0w,RH,Uzd,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
bWbuzcfJR2y2f-5yUIw1ew,"Relations Employés (""HR BP"")",my6VdsqMSt2govE7qBhx0w,RH,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
sbS.L2o6SUW8qwEflCLtGQ,Gestion de la marque,N5zctJkaTZiQkQpKX5aL1w,Mkg & Communication,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
tvi6joHVSfizhcg9Qhv7vw,Marketing digital,N5zctJkaTZiQkQpKX5aL1w,Mkg & Communication,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
FxBUn86DSK2uVMgzcbRJQg,Études de marché,N5zctJkaTZiQkQpKX5aL1w,Mkg & Communication,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
nhh9wHAwS8ipGpje7besEA,Marketing produit,N5zctJkaTZiQkQpKX5aL1w,Mkg & Communication,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
wUetnwWkS3qNXxIKxAnuYg,Communication d'entreprise,N5zctJkaTZiQkQpKX5aL1w,Mkg & Communication,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
Ou1SILx2TleHoOJ958Zimw,Relations publiques,N5zctJkaTZiQkQpKX5aL1w,Mkg & Communication,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
A9AClY-BQ9mEe98OiRehgQ,Gestion d'événements,N5zctJkaTZiQkQpKX5aL1w,Mkg & Communication,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
oRuYFfuTQCmxwSFAQUyCTw,Création de contenu,N5zctJkaTZiQkQpKX5aL1w,Mkg & Communication,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
WfZMw3IATmaMvhbQ2c1x6Q,Gestion des médias sociaux,N5zctJkaTZiQkQpKX5aL1w,Mkg & Communication,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
z3Sf2FQXTEWVcKieyURhug,Analyse des comportements clients,N5zctJkaTZiQkQpKX5aL1w,Mkg & Communication,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
RZAtjTfaQQCeRz69A.KwgQ,Stratégie de vente,IZ1wMsupSRC0s9d-D1bOjw,Ventes,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
g83ZZsAbRc6ofvmehPWYiQ,Gestion des comptes,IZ1wMsupSRC0s9d-D1bOjw,Ventes,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
DYxpj4EVTc6sIbZvJnbMNA,Développement commercial,IZ1wMsupSRC0s9d-D1bOjw,Ventes,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
TVrqBjqVTOKxGD4KWG6nGw,Gestion des canaux de distribution,IZ1wMsupSRC0s9d-D1bOjw,Ventes,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
E49G3jSnS4q0XuKjuLfQLw,Opérations de vente,IZ1wMsupSRC0s9d-D1bOjw,Ventes,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
2d25ms5US3u1dF4IcVJ6TQ,Formation commerciale,IZ1wMsupSRC0s9d-D1bOjw,Ventes,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
LMI.PsItSsOPvDJt4oRsMA,Gestion de la relation client (CRM),IZ1wMsupSRC0s9d-D1bOjw,Ventes,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
TTKSseR4Q7uJmFqKVGKCfQ,Prévisions des ventes,IZ1wMsupSRC0s9d-D1bOjw,Ventes,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
DYCOMq03R3SOM0jPDAnLdQ,Vente interne,IZ1wMsupSRC0s9d-D1bOjw,Ventes,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
Fe0Zzxx2TUGF.FHROWpoHg,Vente sur le terrain,IZ1wMsupSRC0s9d-D1bOjw,Ventes,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
JM0b7gKvROqza-qrxPhivw,Planification de la production,Gi7DT8K.Q1GgBn2G-pgMww,Production,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
onPhvCdYT7ObT8v9-vtkoQ,Contrôle qualité,Gi7DT8K.Q1GgBn2G-pgMww,Production,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
ihlKS4YuQ92XXKvxF.1yCg,Ingénierie des procédés,Gi7DT8K.Q1GgBn2G-pgMww,Production,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
xzVCMk-vQuyf-Tnoq6t9Gg,Gestion des stocks,Gi7DT8K.Q1GgBn2G-pgMww,Production,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
XacC-M.TSFCyQhCa.6drAA,Opérations de fabrication,Gi7DT8K.Q1GgBn2G-pgMww,Production,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
Fu1XmaR9Toe4npcpJ.GpjQ,Maintenance,Gi7DT8K.Q1GgBn2G-pgMww,Production,,0,"3693,4","3693,4",,Stratégie RH,"812,04",0,"812,04",,Stratégie RH
