🔒 id Gpts _txt,id user _txt,timestamp _date,id macro category _nb,(LK) label macro category ,gpts Title _txt,description _txt,url _url,public visibility _boolean,picture _img,kanban rank _nb
AHyXyL62T1WcVqagUD.kPA,p8CmevxyTA6dOuNnm-CDuQ,28/05/2024 14:45:31,1,📊 MKG & VENTE,FICHE PRODUIT,Rédiger des descriptifs visibles par Google,https://chatgpt.com/g/g-nQqtXnKKe-redaction-fiche-produit,true,"glide:triangles,AHyXyL62T1WcVqagUD.kPA",UzV
5QZOW93hQcW0-k.mRbl4TQ,p8CmevxyTA6dOuNnm-CDuQ,21/02/2024 17:02:36,3,📜 ADMINISTRATIF,DÉVELOPEUR IT,Créer ou corriger le code d'un programme,https://chat.openai.com/g/g-n7Rs0IK86-grimoire,false,"glide:triangles,5QZOW93hQcW0-k.mRbl4TQ",W6d
co2RZluhRsq84RQexKCgWA,p8CmevxyTA6dOuNnm-CDuQ,21/02/2024 17:05:16,4,🛠️ OUTILS,POWERPOINT,Générer le contenu et les slides sur un sujet,https://chat.openai.com/g/g-cJtHaGnyo-slide-creator,true,"glide:triangles,co2RZluhRsq84RQexKCgWA",V8
3DmMQcJvQcirFIsHQg.TMQ,p8CmevxyTA6dOuNnm-CDuQ,23/02/2024 9:53:14,4,🛠️ OUTILS,MINDMAP,Créer des Graphiques et Mindmap à partir d'un texte ou fichier,https://chat.openai.com/g/g-vI2kaiM9N-whimsical-diagrams,true,"glide:triangles,3DmMQcJvQcirFIsHQg.TMQ",VO
a-D088uhTSP-lNoxGToU5sA,p8CmevxyTA6dOuNnm-CDuQ,24/03/2024 22:54:32,4,🛠️ OUTILS,TRANSCRIPT,Transcrire un texte manuscript en texte dactylographié,https://chat.openai.com/g/g-OVq7dJEtj-smart-ocr,true,"glide:triangles,a-D088uhTSP-lNoxGToU5sA",Uzl
UEElqFHpSUWKw3Jyez.PQw,p8CmevxyTA6dOuNnm-CDuQ,10/04/2024 10:11:02,4,🛠️ OUTILS,BIBLIOTHÈQUE IA,Trouver l'outil IA correspondant à ses besoins,https://chat.openai.com/g/g-AyIz1oxf2-lacreme-ai-l-ia-des-ia,true,"glide:triangles,UEElqFHpSUWKw3Jyez.PQw",W6p
CLBg5rXsRMaJD0r9OUIqhg,p8CmevxyTA6dOuNnm-CDuQ,10/04/2024 10:13:46,4,🛠️ OUTILS,VOX SCRIPT,Résumer des YouTube et pages web,https://chat.openai.com/g/g-g24EzkDta-voxscript,true,"glide:triangles,CLBg5rXsRMaJD0r9OUIqhg",W2V
sNLb8CWTQP2HCclkpun0Uw,p8CmevxyTA6dOuNnm-CDuQ,10/04/2024 10:15:04,3,📜 ADMINISTRATIF,ANALYSEUR,Analyser tous types de fichier,https://chat.openai.com/g/g-HMNcP6w7d-data-analyst,true,"glide:triangles,sNLb8CWTQP2HCclkpun0Uw",W6v
iuarhzz4TCKc9r.k9n1KrA,p8CmevxyTA6dOuNnm-CDuQ,10/04/2024 10:15:38,4,🛠️ OUTILS,EXCEL,Assister sur Excel ou Google Sheet,https://chat.openai.com/g/g-8m2CPAfeF-excel-gpt,true,"glide:triangles,iuarhzz4TCKc9r.k9n1KrA",V4
a--WbWUamQGeIOfgQCGg68A,p8CmevxyTA6dOuNnm-CDuQ,21/02/2024 17:02:36,4,🛠️ OUTILS,VIDEO,Créer un script et une vidéo,https://chat.openai.com/g/g-h8l4uLHFQ-video-maker-by-invideo-ai,true,"glide:triangles,a--WbWUamQGeIOfgQCGg68A",VK
MnNg4xDkRw2k5Sq8WeZxWQ,p8CmevxyTA6dOuNnm-CDuQ,10/04/2024 10:47:51,4,🛠️ OUTILS,IMAGE,Créer et éditer des images,https://chat.openai.com/g/g-2fkFE8rbu-dall-e,true,"glide:triangles,MnNg4xDkRw2k5Sq8WeZxWQ",VG
xLueGcHjRpuVS8gKb1FziQ,p8CmevxyTA6dOuNnm-CDuQ,28/05/2024 12:12:32,4,🛠️ OUTILS,AUDIO,Transcire en texte et reformater,https://chatgpt.com/g/g-Mc1tBt7gp-turboscribe-transcription-transcribe-audio,true,"glide:triangles,xLueGcHjRpuVS8gKb1FziQ",VJ
yjV43VmOSfaUj.dBsEw4mw,p8CmevxyTA6dOuNnm-CDuQ,28/05/2024 12:16:25,1,📊 MKG & VENTE,🚧 MAIL & DOCUMENT,Rédiger un eMail et une offre commerciale ,https://chatgpt.com/g/g-HKpDuDZ2h-sales-email-coach,true,"glide:triangles,yjV43VmOSfaUj.dBsEw4mw",W5l
x3w3QUHtQGO4EfSdfBRPbQ,p8CmevxyTA6dOuNnm-CDuQ,28/05/2024 14:25:31,1,📊 MKG & VENTE,🚧 PRÉ DEVIS,Créer en direct une estimation pour le client,https://chatgpt.com/g/g-HKpDuDZ2h-sales-coach,true,"glide:triangles,x3w3QUHtQGO4EfSdfBRPbQ",W5O
